Count: 252, Range: 2025-04-24 to 2026-04-24

=== GLD Daily Historical Prices - Past 365 Days ===
Open (oldest): $306.98
Close (latest): $433.54
52-Week High: $509.70
52-Week Low: $291.78
Avg Daily Volume: 13,750,224
Daily Return Std Dev: 1.71%
Annualized Volatility: 27.20%
Avg Daily Return: 0.1510%
Period Return: 40.73%

--- CSV Data ---
Date,Open,High,Low,Close,Volume
2026-03-19,420.36,428.27,416.8,426.41,30206000
2026-03-20,428.09,428.59,411.23,413.38,27204938
2026-03-23,405.12,414.54,399.64,404.04,36796839
2026-03-24,400.24,407.29,399.2,404.13,17478516
2026-03-25,419.71,420.66,412.25,416.29,15713200
2026-03-26,408.53,411.37,400.26,400.64,15756339
2026-03-27,406.2,418.4,405.41,414.7,16580719
2026-03-30,419.54,420.1,412.66,414.58,13172100
2026-03-31,420.08,430.57,419.59,430.29,14534303
2026-04-01,435,440.19,433.76,437.82,14133118
2026-04-02,422.29,431.67,421.17,429.41,10838639
2026-04-06,428.87,431.49,426.71,427.65,5417300
2026-04-07,427.9,433.43,423.1,431.81,7263500
2026-04-08,439.98,440.44,431.31,434.53,9689700
2026-04-09,436.47,440.91,435.87,437.91,6748500
2026-04-10,438.59,440.35,436,437.13,6193300
2026-04-13,434.78,436.22,431.63,435.36,5549419
2026-04-14,439.32,445.18,439.02,445.09,8731700
2026-04-15,442.88,443.74,439.6,440.46,6455900
2026-04-16,442.15,442.98,438.18,440.08,5350127
2026-04-17,445.65,448.7,445.32,445.93,9712000
2026-04-20,443.13,443.42,440.05,442.09,8473002
2026-04-21,438.55,440.25,428.71,429.57,9480023
2026-04-22,436.27,437.17,433.78,435.26,5178100
2026-04-23,433.96,435.29,428.22,431.04,4976399
2026-04-24,431.335,435.28,430.6501,433.54,4559540
