date,open,high,low,close,volume
2022-12-22,70.52,70.52,69.04,70.2,7051952
2022-12-23,70.06,70.96,70.06,70.92,5674747
2022-12-27,71.06,71.5,70.62,71.34,6105700
2022-12-28,71.52,71.82,70.56,70.68,7215662
2022-12-29,71.02,71.58,70.98,71.18,5777647
2022-12-30,71.12,71.24,69.84,70.5,7350107
2023-01-03,70.7,70.94,69.54,70.5,12887119
2023-01-04,70.82,71.78,70.7,71.14,10436349
2023-01-05,70.6,70.88,69.38,69.6,9786430
2023-01-06,70.4,71.34,70.3,71,9810287
2023-01-09,70.98,72.02,70.78,71.48,11719400
2023-01-10,71.3,71.54,70.66,71.5,8607500
2023-01-11,71.5,72.18,71.48,72.08,10685922
2023-01-12,72.18,72.28,71.54,71.6,12898900
2023-01-13,71.3,71.56,70.8,71.34,11896800
2023-01-17,71.38,71.9,71.12,71.24,9765234
2023-01-18,71.54,71.54,69.44,69.52,14510234
2023-01-19,69.48,69.56,68.66,68.82,14197000
2023-01-20,68.78,69.26,67.84,69.24,13310500
2023-01-23,68.98,69.92,68.7,69.26,9826438
2023-01-24,69.32,69.82,68.44,69.6,10329400
2023-01-25,68.58,68.82,67.96,68.66,12991500
2023-01-26,68.3,69,68.18,68.9,10180042
2023-01-27,68.74,69.18,68.48,68.9,7712900
2023-01-30,68.64,69.36,68.52,68.58,7780521
2023-01-31,68.78,69.12,67.96,69.1,9721200
2023-02-01,68.76,69.7,68.28,69.2,15472490
2023-02-02,69.26,70.12,68.7,69.36,12498540
2023-02-03,68.74,69.02,67,67.92,12681143
2023-02-06,67.66,68.54,67.54,68.48,15707100
2023-02-07,68.18,68.68,67.52,68.46,10562306
2023-02-08,68.06,68.1,66.98,67.32,11235848
2023-02-09,67.48,67.84,66.28,66.4,10357755
2023-02-10,66.46,67.78,66.38,67.7,15481739
2023-02-13,67.74,68.3,67.74,68.12,8091932
2023-02-14,68.06,68.52,67.48,67.84,7075222
2023-02-15,67.44,68.32,67.44,68.28,5510009
2023-02-16,67.6,68.06,67.02,67.76,9199800
2023-02-17,67.78,68.8,67.42,68.48,10936729
2023-02-21,67.98,68.18,67.16,67.2,8484534
2023-02-22,67.2,67.7,66.76,66.94,13375100
2023-02-23,67.24,67.24,66.3,66.6,10703345
2023-02-24,66.02,66.84,65.74,66.62,11575200
2023-02-27,66.94,67.58,66.02,66.16,10860321
2023-02-28,65.86,66.18,65,65,20575936
2023-03-01,64.66,64.72,63.62,63.94,23638000
2023-03-02,63.84,65.18,63.76,65.14,15347486
2023-03-03,65.4,66.3,64.76,66.26,15087612
2023-03-06,66.3,66.78,66.2,66.56,12121716
2023-03-07,66.64,66.8,65.16,65.48,12027644
2023-03-08,65.46,66.12,65.2,65.98,13703768
2023-03-09,66.16,66.78,65.24,65.46,17033600
2023-03-10,65.78,65.78,64.1,64.42,20833347
2023-03-13,64.34,66.84,64.26,65.42,33835732
2023-03-14,65.9,66.82,65.62,66.28,17559235
2023-03-15,66.08,67.6,65.76,67.18,24168400
2023-03-16,66.92,68.02,66.66,67.62,15826197
2023-03-17,67.46,67.6,66.48,66.98,17907693
2023-03-20,66.58,67.22,66.56,67,19419074
2023-03-21,67.12,67.2,64.78,65.66,25932537
2023-03-22,65.56,65.9,64.34,64.36,17896642
2023-03-23,64.38,65,63.38,63.7,16884505
2023-03-24,63.78,65.7,63.72,65.7,18056218
2023-03-27,65.9,66.36,65.6,65.78,14136940
2023-03-28,65.62,66.64,65.62,65.96,11019485
2023-03-29,66.3,67.02,66.3,66.92,9904018
2023-03-30,67.06,67.54,66.82,67.2,10292845
2023-03-31,67.42,67.72,67.04,67.7,11722150
2023-04-03,67.44,67.74,66.84,67.24,12035815
2023-04-04,67.2,67.7,67.02,67.56,10807005
2023-04-05,67.86,69.52,67.84,69.32,18837200
2023-04-06,69.88,69.96,69.1,69.82,16675228
2023-04-10,69.42,69.7,68.72,69.68,10231500
2023-04-11,69.56,69.92,69.4,69.74,8637039
2023-04-12,69.86,70.16,69.42,69.66,12554719
2023-04-13,69.34,69.86,68.34,69.68,16446211
2023-04-14,69.16,69.3,68.56,68.9,9064724
2023-04-17,69.02,69.4,68.58,69.28,7806900
2023-04-18,69.3,69.44,68.66,68.92,7783227
2023-04-19,69.08,69.66,68.98,69.44,10317300
2023-04-20,69.5,69.7,69.02,69.42,7368739
2023-04-21,69.88,70.12,69.2,69.62,7037804
2023-04-24,69.6,70.1,69.18,69.98,6789500
2023-04-25,69.7,70.28,69.7,69.9,10251755
2023-04-26,69.36,69.58,68.18,68.26,14756900
2023-04-27,68.46,69.14,68.4,69.08,12466700
2023-04-28,68.88,69.4,68.56,68.98,12123581
2023-05-01,68.82,69.78,68.76,69.1,10508100
2023-05-02,69.04,69.22,67.88,68.26,11465731
2023-05-03,68.64,69.06,67.98,68.06,11857200
2023-05-04,68.2,68.86,67.56,68.6,14631159
2023-05-05,68.36,69.2,68.36,69.04,11416754
2023-05-08,68.96,69.46,68.6,68.82,8286722
2023-05-09,68.66,68.92,68.24,68.74,10281219
2023-05-10,69.16,69.54,68.66,69.36,10708427
2023-05-11,69.4,69.42,68.34,68.66,14874100
2023-05-12,69.04,69.48,68.62,69.04,11874283
2023-05-15,69.3,69.4,67.88,68.16,13185137
2023-05-16,68.08,68.2,66.62,66.66,14004007
